                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3269,                 2.8713,                 1.7472,                0.13781,                0.36268,                 0.1065,                0.05027,                 1.7028,                 9.7387,                 2.0768,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.2745,                 2.3947,                 1.6947,                0.13955,                0.32746,                0.08869,                0.03813,                 1.9488,                 11.372,                 2.5066,             0.00036823,             0.00036823,             0.00036823
                      3,                 1.2202,                 2.2369,                 1.6279,                 0.0206,                0.35739,                0.00967,                 0.0044,                 2.1704,                    inf,                  3.224,             0.00053724,             0.00053724,             0.00053724
                      4,                 1.3247,                 2.2515,                 1.7233,                0.15574,                0.28917,                0.05815,                0.02445,                 2.5764,                 92.686,                 3.6245,             0.00069041,             0.00069041,             0.00069041
                      5,                 1.3844,                 2.2865,                 1.7689,                0.01278,                0.16813,                0.01615,                0.00555,                 3.1949,                 27.092,                 3.7852,             0.00082774,             0.00082774,             0.00082774
                      6,                 1.4242,                 2.2576,                 1.7812,                0.00028,                0.02817,                0.00015,                  7e-05,                 4.0497,                    inf,                 82.214,             0.00094922,             0.00094922,             0.00094922
                      7,                 1.3885,                 2.2423,                 1.7722,                0.00428,                0.26981,                0.00331,                0.00095,                 2.9435,                    inf,                 4.1186,              0.0010549,              0.0010549,              0.0010549
                      8,                 1.3836,                 2.2257,                 1.7446,                0.00284,                0.31734,                0.00207,                0.00095,                 3.6335,                    inf,                 7.5196,              0.0011447,              0.0011447,              0.0011447
                      9,                 1.3813,                 2.2399,                 1.7346,                0.00593,                0.14613,                0.00172,                0.00061,                 4.3953,                    inf,                 21.023,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.3136,                 2.2404,                 1.6869,                0.04398,                0.08055,                  0.007,                0.00211,                  3.281,                 25.143,                 3.7834,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.2998,                 2.1292,                 1.6692,                0.04819,                0.29093,                0.03785,                0.01264,                   2.21,                 19.828,                 3.9644,              0.0010069,              0.0010069,              0.0010069
                     12,                 1.2847,                  2.069,                 1.6767,                0.06889,                0.17826,                0.04598,                0.01459,                 2.2478,                 16.286,                 3.7296,             0.00094085,             0.00094085,             0.00094085
                     13,                 1.2479,                 2.0827,                 1.6351,                0.08888,                0.22139,                0.01862,                0.00542,                 2.2371,                  24.09,                 2.5354,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.2035,                 1.9855,                 1.6104,                0.02277,                 0.4419,                 0.0198,                 0.0075,                 2.0074,                 28.323,                 2.4362,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.2108,                 1.9563,                 1.6218,                0.08242,                0.36136,                0.09222,                0.04356,                 1.9992,                 5.9771,                 2.4622,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.3623,                 2.1878,                 1.8003,                0.05575,                0.53081,                0.04663,                0.02419,                  1.784,                 25.139,                 2.1992,              0.0006768,              0.0006768,              0.0006768
                     17,                 1.2814,                 2.1343,                 1.7423,                0.17311,                0.40669,                0.21881,                0.10295,                  1.782,                 2.9548,                 2.3062,             0.00061079,             0.00061079,             0.00061079
                     18,                 1.2636,                 2.0268,                 1.7246,                0.27886,                0.40557,                0.27338,                0.14248,                  1.634,                 2.4767,                 2.0615,             0.00054478,             0.00054478,             0.00054478
                     19,                 1.3197,                 2.0573,                 1.7526,                0.33577,                0.25968,                0.24902,                0.13684,                 1.5764,                 2.3903,                 1.9859,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.2213,                 1.9171,                 1.6741,                0.20786,                0.62632,                0.25675,                0.13368,                 1.5696,                 2.3821,                 2.0386,             0.00041275,             0.00041275,             0.00041275
                     21,                 1.1585,                 1.8092,                   1.62,                0.19476,                0.44806,                0.21307,                0.12003,                 1.5386,                  2.304,                 1.9168,             0.00034674,             0.00034674,             0.00034674
                     22,                 1.1684,                 1.8085,                 1.6438,                0.25416,                0.47227,                0.23607,                0.14135,                 1.4732,                 2.1511,                 1.8402,             0.00028072,             0.00028072,             0.00028072
                     23,                 1.0897,                 1.7151,                  1.565,                0.26231,                0.39965,                  0.265,                0.14601,                 1.4871,                 2.0985,                 1.8237,             0.00021471,             0.00021471,             0.00021471
                     24,                 1.1036,                 1.7981,                 1.5673,                0.25786,                0.39261,                0.27696,                0.15244,                  1.486,                 2.0566,                 1.8326,              0.0001487,              0.0001487,              0.0001487
                     25,                 1.0909,                 1.7125,                 1.5661,                0.29284,                0.43384,                0.27886,                0.16092,                 1.4476,                 2.0641,                 1.7923,             8.2683e-05,             8.2683e-05,             8.2683e-05
