                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4366,                 3.1299,                 1.7059,                0.19843,                0.06646,                0.07755,                0.02571,                 1.6395,                 7.1646,                 1.8967,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.2498,                 2.3202,                 1.5812,                0.27794,                0.31083,                0.25732,                0.13639,                 1.6214,                 2.5638,                 1.8823,             0.00036823,             0.00036823,             0.00036823
                      3,                 1.1697,                 2.1249,                 1.5264,                0.20622,                0.27685,                0.16861,                0.08351,                 1.7308,                 2.6881,                  1.965,             0.00053724,             0.00053724,             0.00053724
                      4,                 1.2062,                  2.061,                 1.5727,                0.06864,                0.22535,                0.09579,                0.03744,                 2.0079,                 5.1663,                 2.3556,             0.00069041,             0.00069041,             0.00069041
                      5,                 1.2876,                 2.1062,                 1.6212,                 0.1298,                0.42782,                0.10765,                 0.0421,                 1.9335,                 7.4526,                 2.3477,             0.00082774,             0.00082774,             0.00082774
                      6,                  1.247,                 2.0745,                 1.5911,                0.20507,                0.15097,                0.14712,                0.06966,                 2.0189,                 4.8797,                 2.5011,             0.00094922,             0.00094922,             0.00094922
                      7,                 1.2146,                 1.9945,                 1.5653,                0.26713,                0.23063,                0.15497,                0.07507,                 1.9389,                 3.0024,                 2.3358,              0.0010549,              0.0010549,              0.0010549
                      8,                 1.2992,                 1.9821,                 1.6487,                 0.1659,                0.40273,                0.15467,                0.07779,                 1.9013,                 3.4685,                 2.2311,              0.0011447,              0.0011447,              0.0011447
                      9,                 1.2647,                 1.9848,                 1.6183,                0.07437,                0.32218,                 0.0945,                0.05376,                 2.1104,                 7.0648,                 2.5432,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.2414,                 1.9933,                 1.6199,                0.11407,                0.35809,                0.14471,                0.07867,                 1.9907,                 4.2263,                 2.3097,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.1465,                 1.8496,                  1.519,                0.16322,                0.38468,                0.13845,                0.05117,                 2.1363,                 3.9074,                 2.5081,              0.0010069,              0.0010069,              0.0010069
                     12,                  1.192,                 1.8241,                 1.5488,                0.26972,                0.35035,                0.20906,                0.07972,                 1.8787,                 3.1249,                 2.2203,             0.00094085,             0.00094085,             0.00094085
                     13,                 1.1328,                 1.8219,                 1.5115,                0.20702,                0.36532,                0.22041,                 0.0946,                 1.7546,                 2.9519,                 2.0945,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.0989,                 1.7562,                 1.4843,                0.17885,                0.51849,                0.22261,                0.10095,                 1.7586,                  2.745,                 2.0783,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.1012,                 1.6992,                 1.4656,                0.17662,                0.29489,                0.12799,                0.06404,                 2.0117,                 4.2247,                 2.3143,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.2384,                 1.9841,                 1.6232,                0.28229,                0.31514,                0.19107,                0.08533,                 1.8176,                 2.9261,                 2.1037,              0.0006768,              0.0006768,              0.0006768
                     17,                 1.2009,                 1.8596,                 1.6075,                0.34784,                0.43706,                0.36173,                0.16965,                 1.6872,                 2.2251,                 1.9858,             0.00061079,             0.00061079,             0.00061079
                     18,                 1.1492,                 1.7922,                  1.563,                0.35359,                0.55282,                0.33339,                0.18213,                 1.5718,                 2.3089,                 1.9108,             0.00054478,             0.00054478,             0.00054478
                     19,                  1.183,                 1.6968,                 1.6128,                0.29195,                0.55282,                0.33389,                0.17625,                 1.5655,                 2.1677,                 1.8575,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.1414,                 1.5946,                  1.515,                0.29725,                0.60519,                0.33945,                0.18575,                 1.6214,                 2.0562,                 1.9147,             0.00041275,             0.00041275,             0.00041275
                     21,                 1.0479,                 1.5292,                 1.4465,                0.51095,                 0.3191,                 0.4042,                0.22741,                 1.4318,                 2.0116,                 1.7049,             0.00034674,             0.00034674,             0.00034674
                     22,                 1.0616,                  1.522,                 1.5039,                 0.4253,                0.58319,                0.39688,                0.22835,                 1.4416,                 1.9699,                 1.7082,             0.00028072,             0.00028072,             0.00028072
                     23,                0.95898,                 1.4074,                 1.3946,                 0.4412,                 0.5691,                0.38686,                0.21077,                 1.4339,                 1.9687,                 1.7218,             0.00021471,             0.00021471,             0.00021471
                     24,                0.97145,                 1.4718,                 1.4027,                0.38218,                0.58319,                0.38409,                0.21339,                 1.4759,                 1.9606,                 1.7687,              0.0001487,              0.0001487,              0.0001487
                     25,                0.92075,                  1.384,                 1.3646,                 0.3864,                0.54489,                0.35779,                0.21328,                 1.4854,                 1.9533,                 1.7621,             8.2683e-05,             8.2683e-05,             8.2683e-05
